GROUP WARANTY,MAIN PRODUCT,TYPE,GROUP,SERIES,SUB SERIES,Thai / Asia (Except Japan),,,Europe / Japan / USA / Australia,,,Item number,Property,Product name,Search name,Item remark,Text production,Production pool,Item group,Unit
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCM25-KIT-02-009,,HYD FORK UPGRADE KIT,KAW\W 175 '17>,ECR001017 NEW PACKING+SPRING-G,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCM26-KIT-01-001,,HYD FORK UPGRADE KIT,HO\PCX 150i '14-17,ECR001539/ปรับ BOM 20-09-19,BOM-R1-NEW SET 4-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCM27-KIT-01-026,,HYD FORK UPGRADE KIT,HO\CBR 150R '19>,F/C 20 SET,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCM28-KIT-04-011,,HYD FORK UPGRADE KIT,YAM\SR400 '08-17/SR400 FI '08-17,SPRING -G FOR BOX SPRING NO.2,BOM-R1-NEW SET 25-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCM29-KIT-02-008,,HYD FORK UPGRADE KIT MOTO&CYCLE (55-65 KGS.),KAW\KLX 140G '17>,SPRING-G-FOR BOX/ECR001259,BOM-R2-NEW SET 4-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCM29-KIT-02-008-1,,HYD FORK UPGRADE KIT MOTO&CYCLE&ENDU (65-75 KGS.),KAW\KLX 140G '17>,SPRING-G-FOR BOX/ECR001259,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCM29-KIT-02-008-2,,"HYD FORK UPGRADE KIT MOTO&CYCLE(75-95 KGS.),ENDU(65-85KGS.)",KAW\KLX 140G '17>,SPRING-G-FOR BOX/ECR001259,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCM29-KIT-02-008-3,,"HYD FORK UPGRADE KIT MOTO&CYCLE(95-105KGS.),ENDU(85-105KGS.)",KAW\KLX 140G '17>,SPRING-G-FOR BOX/ECR001259,,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCM30-KIT-04-005,,HYD FORK UPGRADE KIT,YAM\YZF R15 150 '14-16,ECR001017 NEW PACKING+SPRING-G,BOM-R1-NWE SET 04-10-17,6127,FG-CARTRID,SET
 CARTRIDGE KIT,CARTRIDGE,HYDRAULIC,FORK UPGRADE KIT,FORK UPGRADE KIT,FORK UPGRADE KIT,1 year,"20,000 km.",Inserted Card,2 years,X,Inserted Card,Y-FCM30-KIT-04-010,,HYD FORK UPGRADE KIT,YAM\X-MAX 300 '17>,ECR001017 NEW PACKING+SPRING-G/ECR001484 CHANGE SPACER PIPE,BOM-R2-NEW SET 04-10-17/ประกอบ 2B48-180-00 (ADAPTER 26x18x17 )เข้ากับ SPACER PIPE ก่อน PACKING,6127,FG-CARTRID,SET
